Sample,Name,Conc,Ret.time,Ret.index,Type,m/z,Area,Height,Unit,Group,Date.anal,Notes
MYMA_09F0778_0166_5252020_7,c22.1n7c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c22.1A,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c21.5n3,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c22.2n6,Ratio of reference ion does not match.,0,0,Target,67,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c23.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c22.PUFA,No peak is identified.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c22.3n6,No peak is identified.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c22.4n6,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c22.5n6,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c22.5n3,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c22.6n3,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c24.0,0.0536,46.344,0,Target,74,14883,2311,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c24.1n9,0.569,47.257,0,Target,55,74087,11300,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c8:0,0.0048,6.196,0,Target,74,2173,848,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c9:0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c10:0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c11:0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c11:1,0.018,10.026,0,Target,55,2553,740,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c12:0,0.0133,10.589,0,Target,74,5411,3406,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c13.0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c16:1n1,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
MYMA_09F0778_0166_5252020_7,c18:4n1,0.3917,28.739,0,Target,79,72924,13478,ng/ul,bsides,2021-04-28,"Manual entry, uncertain ID"
LAAN_14F1207_0194_5252020_14,c13.1,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c14.0,0.6631,13.299,0,Target,74,281663,127539,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c14.1,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,i15.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c15.0,0.0369,15.166,0,Target,74,15293,5574,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,i16.0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c16.0,12.2969,17.524,0,Target,74,4895180,1272974,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c16.1n13,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c16.1n9,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c16.1n7c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c16.1n6c,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,i17.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,a17.0,Ratio of reference ion does not match.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c16.2n5,Ratio of reference ion does not match.,0,0,Target,67,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c17.0,0.0228,20.255,0,Target,74,8782,2144,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c17.1n9c,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c16.4n1,Ratio of reference ion does not match.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,i18.0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,a18.0,No peak is identified.,0,0,Target,74,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c18.0,0.8632,23.435,0,Target,74,334797,73738,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c18.1n9c,0.7884,24.037,0,Target,55,107523,28183,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c18.1n7c,5.33,24.344,0,Target,55,861182,183738,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c18.1B,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c18.2n6c,4.451,25.651,0,Target,67,753169,158818,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c18.2,No peak is identified.,0,0,Target,67,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c18.3n6,0.3391,26.551,0,Target,79,50658,10575,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c19.0,21.2924,27.116,0,Target,74,9051173,1147318,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c18.3n3,23.826,27.879,0,Target,79,4435235,687351,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c19.1A,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c18.4n1,No peak is identified.,0,0,Target,79,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c20.0,0.0165,30.691,0,Target,74,6384,1353,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c20.1n11,No peak is identified.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c20.1n9,0.2813,31.394,0,Target,55,40504,8156,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c20.1n7,Ratio of reference ion does not match.,0,0,Target,55,0,0,ng/ul,bsides,2021-04-28,
LAAN_14F1207_0194_5252020_14,c20.2n6,0.0799,33.251,0,Target,67,13286,2575,ng/ul,bsides,2021-04-28,
