sample,batch,FA,proportion,targetFA,type
IRCO_11F1005_0072,batch_2,i-14:0,0,standardsplus,core
IRCO_11F1005_0072,batch_2,14:0,0.024810131,standardsplus,core
IRCO_11F1005_0072,batch_2,14:1,0,standardsplus,core
IRCO_11F1005_0072,batch_2,14:1w5,0,standardsplus,core
IRCO_11F1005_0072,batch_2,i-15:0,0,standardsplus,core
IRCO_11F1005_0072,batch_2,a-15:0,0,standardsplus,core
IRCO_11F1005_0072,batch_2,15:0,0.00331319,standardsplus,core
IRCO_11F1005_0072,batch_2,15:1w7,0,standardsplus,core
IRCO_11F1005_0072,batch_2,15:1w5,0,standardsplus,core
IRCO_11F1005_0072,batch_2,i-16:0,0,standardsplus,core
IRCO_11F1005_0072,batch_2,16:0,0.265787939,standardsplus,core
IRCO_11F1005_0072,batch_2,16:1w13,0,standardsplus,core
IRCO_11F1005_0072,batch_2,16:1w9,0,standardsplus,core
IRCO_11F1005_0072,batch_2,16:1w7t,0,standardsplus,core
IRCO_11F1005_0072,batch_2,16:1w8c,0,standardsplus,core
IRCO_11F1005_0072,batch_2,16:1w7c,0.02110614,standardsplus,core
IRCO_11F1005_0072,batch_2,16:1w6c,0,standardsplus,core
IRCO_11F1005_0072,batch_2,16:1w5t,0,standardsplus,core
IRCO_11F1005_0072,batch_2,16:1w5c,0,standardsplus,core
IRCO_11F1005_0072,batch_2,16:2w6,0.002298831,standardsplus,core
IRCO_11F1005_0072,batch_2,i-17:0,0,standardsplus,core
IRCO_11F1005_0072,batch_2,a-17:0,0,standardsplus,core
IRCO_11F1005_0072,batch_2,16:2w5,0,standardsplus,core
IRCO_11F1005_0072,batch_2,16:2w4,0,standardsplus,core
IRCO_11F1005_0072,batch_2,17:0,0.001054589,standardsplus,core
