sample,batch,FA,proportion
DEME_14F1329_0091,batch_2,15:1w7,0
DEME_14F1329_0091,batch_2,15:1w5,0
DEME_14F1329_0091,batch_2,i-16:0,0
DEME_14F1329_0091,batch_2,16:0,0.0984068800225575
DEME_14F1329_0091,batch_2,16:1w13,0
DEME_14F1329_0091,batch_2,16:1w9,0
DEME_14F1329_0091,batch_2,16:1w7t,0
DEME_14F1329_0091,batch_2,16:1w8c,0
DEME_14F1329_0091,batch_2,16:1w7c,0.0108774094665917
DEME_14F1329_0091,batch_2,16:1w6c,0.0021636168974292
DEME_14F1329_0091,batch_2,16:1w5t,0
DEME_14F1329_0091,batch_2,16:1w5c,0.0112469691914913
DEME_14F1329_0091,batch_2,16:2w6,0
DEME_14F1329_0091,batch_2,i-17:0,0
DEME_14F1329_0091,batch_2,a-17:0,0
DEME_14F1329_0091,batch_2,16:2w5,0.00379330897984765
DEME_14F1329_0091,batch_2,16:2w4,0
DEME_14F1329_0091,batch_2,17:0,0.0010856471238552
DEME_14F1329_0091,batch_2,16:3w4,0
DEME_14F1329_0091,batch_2,16:3w3,0
DEME_14F1329_0091,batch_2,17:1w9c,0
DEME_14F1329_0091,batch_2,17:1w7c,0
DEME_14F1329_0091,batch_2,16:4w3,0.00022159624675283
DEME_14F1329_0091,batch_2,16:4w1,0
DEME_14F1329_0091,batch_2,17:2,0
DEME_14F1329_0091,batch_2,18:0,0.031613932576114
DEME_14F1329_0091,batch_2,18:1w9t,0
DEME_14F1329_0091,batch_2,18:1w9c,0.182809924161738
DEME_14F1329_0091,batch_2,18:1w8c,0
DEME_14F1329_0091,batch_2,18:1w7c,0
DEME_14F1329_0091,batch_2,18:1w5c,0
DEME_14F1329_0091,batch_2,18:1w6c,0
DEME_14F1329_0091,batch_2,"18:2w7,12c",0
DEME_14F1329_0091,batch_2,18:2w6t,0
DEME_14F1329_0091,batch_2,18:2w6c,0.0671754190786342
DEME_14F1329_0091,batch_2,18:2w3,0
DEME_14F1329_0091,batch_2,18:2,0
DEME_14F1329_0091,batch_2,18:3w6,0.0050995054390537
DEME_14F1329_0091,batch_2,18:3w4,0
DEME_14F1329_0091,batch_2,19:0,0.126768756813648
DEME_14F1329_0091,batch_2,18:3w3,0.0689384178795717
DEME_14F1329_0091,batch_2,18:4w3c,0.0831083637053963
DEME_14F1329_0091,batch_2,18:4w1,0
