,C12:0,C12:0,C14:0,C14:0,C14:1w5,C14:1w5,C15:0,C15:0,C16:0,C16:0,C16:1w7c,C16:1w7c,C16:2w6,C16:2w6,C16:2w6,C16:2w6,C17:0,C17:0,C16:3n4,C16:3n4,C16:3n3,C16:3n3,C16:4n3,C16:4n3,C16:4w1,C16:4w1,C18:0,C18:0,C18:1w9c,C18:1w9c,C18:1w7c,C18:1w7c,C18:1n,C18:1n,C18:2w6c,C18:2w6c,C18:3w6,C18:3w6,C19:0,C19:0,C18:3w3,C18:3w3,C18:4w3,C18:4w3,C18:5w3,C18:5w3,C20:0,C20:0,C20:4w6,C20:4w6,C20:4w3,C20:4w3,C20:5w3,C20:5w3,C22:0,C22:0,C22:5w3,C22:5w3,C22:6w3,C22:6w3
data filename,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc,area,conc
ANTSEA_062_HYME.qgd,"2,280",0.03,"271,288",0.73,-----,-----,"75,234",0.39,"6,251,294",13.76,"40,237",0.32,-----,-----,-----,-----,"25,728",0.29,"1,640",0.01,,,,,"1,977",0.01,"136,501",0.63,"252,907",1.81,"106,700",0.69,-----,-----,"242,208",1.51,"57,463",0.64,"9,141,895",18.62,"5,170",0.18,"2,925",0.01,,,"2,104",0.36,"842,139",4.56,-----,-----,"4,313,084",19.57,-----,-----,-----,-----,"3,597",0.95
ANTSEA_063_HYME.qgd,587,0.02,"164,320",0.51,-----,-----,"47,026",0.33,"4,109,428",9.16,"39,294",0.32,-----,-----,"3,649",0.02,"20,497",0.28,"7,347",0.03,,,,,"6,981",0.03,"156,744",0.68,"135,902",1.17,"62,033",0.49,-----,-----,"187,002",1.26,"14,863",0.43,"9,557,502",19.46,"3,644",0.18,"3,465",0.01,,,"3,450",0.36,"756,876",4.15,-----,-----,"2,507,446",11.57,-----,-----,-----,-----,"1,737",0.94
ANTSEA_064_RHLA.qgd,"1,293",0.02,"118,035",0.41,-----,-----,"14,417",0.26,"1,731,215",4.06,"109,638",0.7,"2,752",0.01,"12,237",0.06,"6,897",0.25,"24,423",0.09,,,,,"22,912",0.09,"103,971",0.56,"29,803",0.6,"296,188",1.54,-----,-----,"53,470",0.66,"17,884",0.45,"10,390,060",21.13,"7,385",0.19,"11,696",0.05,,,"3,441",0.36,"167,147",1.37,-----,-----,"1,939,426",9.06,"2,614",0.13,-----,-----,"2,101",0.94
ANTSEA_065_RHLA.qgd,748,0.02,"187,305",0.56,-----,-----,"17,599",0.27,"2,403,532",5.5,"375,937",2.14,"7,695",0.03,"86,929",0.39,"4,983",0.25,"132,644",0.51,,,,,"228,594",0.89,"127,666",0.61,"48,842",0.7,"346,221",1.76,-----,-----,"66,114",0.72,"25,963",0.49,"9,931,183",20.21,"17,409",0.23,"62,877",0.24,,,"4,174",0.37,"232,711",1.68,-----,-----,"2,972,444",13.63,"3,646",0.14,"3,807",0.55,"7,694",0.98
ANTSEA_066_RHLA.qgd,"1,886",0.02,"240,258",0.66,-----,-----,"20,191",0.27,"2,835,794",6.43,"430,924",2.43,"8,048",0.04,"75,320",0.34,"6,776",0.25,"107,903",0.42,,,,,"215,151",0.83,"138,078",0.64,"55,907",0.74,"378,761",1.91,-----,-----,"72,383",0.74,"29,053",0.5,"10,034,511",20.42,"18,318",0.24,"69,446",0.27,,,"4,885",0.37,"295,678",1.98,-----,-----,"3,195,078",14.62,"3,408",0.14,"3,272",0.54,"7,774",0.98
ANTSEA_067_HIGR.qgd,"2,674",0.03,"1,211,634",2.66,"50,771",0.32,"40,582",0.31,"3,691,543",8.27,"317,342",1.82,"23,023",0.1,"24,771",0.11,"14,971",0.27,"19,948",0.08,,,,,"44,416",0.17,"258,307",0.9,"854,300",5.07,"6,829",0.24,"16,869",0.08,"438,644",2.4,"42,952",0.57,"10,594,081",21.54,"934,713",3.79,"1,321,579",5.12,,,"387,208",1.25,"2,375,452",11.79,"45,915",0.2,"1,626,843",7.67,"6,370",0.14,"564,393",4.33,-----,-----
ANTSEA_068_HIGR.qgd,"2,948",0.03,"809,052",1.84,"44,052",0.29,"47,999",0.33,"3,014,742",6.82,"345,568",1.97,"28,338",0.13,"30,513",0.14,"15,100",0.27,"35,204",0.14,,,,,"84,459",0.33,"197,722",0.77,"555,722",3.45,"9,281",0.25,"13,117",0.06,"232,354",1.47,"29,051",0.5,"10,527,389",21.41,"802,806",3.27,"1,342,516",5.2,,,"309,108",1.07,"1,640,456",8.32,"37,058",0.16,"1,520,365",7.2,"5,574",0.14,"451,400",3.57,617,0.93
ANTSEA_069_CAAS.qgd,"4,309",0.03,"282,829",0.75,-----,-----,"89,684",0.42,"6,243,280",13.74,"67,710",0.47,-----,-----,"6,832",0.03,"46,543",0.33,"10,489",0.04,,,,,"12,013",0.05,"168,160",0.7,"112,103",1.04,"20,342",0.3,-----,-----,"121,325",0.97,"16,841",0.44,"10,490,892",21.34,-----,-----,"3,950",0.02,,,"4,321",0.37,"4,273,396",20.75,-----,-----,"1,662,349",7.83,-----,-----,-----,-----,"3,356",0.95
ANTSEA_070_CAAS.qgd,"2,319",0.03,"211,005",0.6,-----,-----,"64,931",0.36,"4,920,035",10.9,"99,619",0.64,-----,-----,"8,850",0.04,"35,457",0.31,"20,746",0.08,,,,,"8,895",0.03,"155,713",0.67,"113,228",1.05,"33,134",0.36,-----,-----,"104,201",0.89,"5,740",0.39,"10,457,944",21.27,-----,-----,"3,249",0.01,,,"3,839",0.36,"4,272,094",20.75,-----,-----,"695,852",3.55,-----,-----,-----,-----,"7,794",0.98
ANTSEA_071_CAAS.qgd,"4,214",0.03,"238,912",0.66,-----,-----,"70,525",0.38,"5,373,426",11.87,"88,146",0.58,-----,-----,"7,719",0.03,"36,652",0.31,"12,623",0.05,,,,,"14,292",0.06,"133,122",0.63,"105,890",1.01,"23,168",0.31,-----,-----,"114,751",0.94,"15,743",0.44,"10,732,248",21.82,-----,-----,"3,771",0.01,,,"4,177",0.37,"4,025,991",19.58,-----,-----,"1,093,141",5.31,-----,-----,-----,-----,"3,350",0.95
ANTSEA_072_CAAS.qgd,"3,842",0.03,"275,551",0.74,-----,-----,"79,010",0.39,"5,838,712",12.87,"72,055",0.5,"1,073",0,"8,469",0.04,"38,757",0.32,699,0,,,,,"12,810",0.05,"158,778",0.68,"108,153",1.02,"20,108",0.3,-----,-----,"118,299",0.95,"19,881",0.46,"10,650,504",21.66,-----,-----,"3,438",0.01,,,"3,883",0.36,"4,433,586",21.51,-----,-----,"1,637,426",7.72,-----,-----,-----,-----,"2,470",0.95
ANTSEA_073_PAOR.qgd,"3,195",0.03,"42,522",0.26,-----,-----,"11,621",0.25,"1,216,478",2.96,"30,455",0.27,-----,-----,-----,-----,"6,328",0.25,226,0,,,,,-----,-----,"90,769",0.53,"64,763",0.79,"11,803",0.26,-----,-----,"8,488",0.46,"8,497",0.4,"9,437,275",19.21,-----,-----,"2,434",0.01,,,"2,215",0.36,"142,708",1.26,-----,-----,"834,591",4.16,-----,-----,-----,-----,-----,-----
ANTSEA_074_CAAS.qgd,"4,286",0.03,"173,512",0.53,-----,-----,"42,661",0.32,"3,593,615",8.06,"58,931",0.42,-----,-----,"3,866",0.02,"20,170",0.28,"5,564",0.02,,,,,"3,690",0.01,"184,971",0.74,"71,263",0.82,"31,256",0.35,-----,-----,"66,556",0.72,"7,678",0.4,"9,891,683",20.13,"9,687",0.2,"5,777",0.02,,,"3,682",0.36,"2,975,829",14.63,68,0,"410,687",2.29,-----,-----,-----,-----,"2,972",0.95
ANTSEA_075_HIGR.qgd,"2,580",0.03,"1,298,398",2.84,"34,261",0.24,"44,165",0.32,"3,206,817",7.23,"317,974",1.82,"30,268",0.14,"31,044",0.14,"20,226",0.28,"17,908",0.07,,,,,"63,172",0.24,"262,535",0.91,"665,507",4.05,"9,314",0.25,"16,015",0.07,"448,189",2.44,"42,148",0.57,"10,430,391",21.21,"894,465",3.63,"1,274,815",4.94,,,"376,838",1.23,"2,190,793",10.92,"44,687",0.2,"1,560,820",7.38,"4,764",0.14,"472,263",3.71,-----,-----
ANTSEA_080_RHLA.qgd,"3,272",0.03,"228,888",0.64,-----,-----,"34,793",0.3,"3,719,633",8.33,"44,802",0.35,-----,-----,"1,591",0.01,"15,574",0.27,"2,576",0.01,,,,,"1,596",0.01,"267,094",0.92,"93,470",0.94,"517,464",2.53,-----,-----,"129,709",1,"41,772",0.56,"9,224,485",18.79,"5,969",0.19,"17,163",0.07,,,"5,480",0.37,"124,882",1.17,-----,-----,"3,073,808",14.08,"6,480",0.14,"2,718",0.54,-----,-----
ANTSEA_081_RHLA.qgd,"1,350",0.02,"166,673",0.51,-----,-----,"27,530",0.29,"3,570,382",8.01,"13,194",0.18,-----,-----,-----,-----,"13,087",0.26,832,0,,,,,"1,761",0.01,"186,858",0.74,"80,486",0.87,"472,968",2.33,-----,-----,"114,664",0.94,"39,779",0.55,"10,772,616",21.9,"8,974",0.2,"15,775",0.06,,,"5,528",0.37,"124,849",1.17,"11,376",0.05,"2,522,731",11.64,"5,787",0.14,"1,818",0.53,-----,-----
ANTSEA_082_PLCA.qgd,"75,211",0.18,"667,087",1.54,-----,-----,"39,536",0.31,"4,157,388",9.27,"91,951",0.6,"3,453",0.02,"14,742",0.07,"15,394",0.27,"27,563",0.11,,,,,"52,857",0.2,"346,398",1.09,"23,200",0.56,"25,932",0.33,-----,-----,"27,410",0.54,"16,380",0.44,"10,830,169",22.02,-----,-----,"11,257",0.04,,,"105,942",0.6,"804,759",4.38,"9,647",0.04,"2,943,890",13.51,"119,675",0.44,-----,-----,"4,579",0.96
ANTSEA_083_PLCA.qgd,"132,070",0.31,"721,550",1.66,-----,-----,"40,510",0.31,"3,642,056",8.16,"97,240",0.63,"2,405",0.01,"13,230",0.06,"16,432",0.27,"25,795",0.1,,,,,"64,055",0.25,"313,102",1.02,"22,783",0.56,"28,177",0.34,-----,-----,"16,319",0.49,"12,407",0.42,"10,671,278",21.7,-----,-----,"9,172",0.04,,,"76,313",0.53,"718,614",3.97,"6,225",0.03,"2,062,691",9.6,"220,697",0.71,-----,-----,"7,175",0.98
ANTSEA_084_CYJA.qgd,"1,504",0.02,"530,797",1.26,"7,157",0.12,"34,985",0.3,"3,137,641",7.08,"21,169",0.22,"1,160",0.01,"16,519",0.07,"23,475",0.28,146,0,,,,,-----,-----,"157,095",0.68,"511,235",3.21,"2,175",0.22,"6,758",0.03,"413,890",2.29,"34,556",0.53,"10,696,160",21.75,"533,874",2.23,"330,099",1.28,,,"100,382",0.59,"1,770,600",8.94,"5,767",0.03,"906,744",4.48,"45,041",0.25,"35,820",0.76,146,0.93
ANTSEA_105_DEAN.qgd,"4,583",0.03,"4,194,943",8.8,"19,391",0.18,"51,255",0.34,"6,069,007",13.37,"53,857",0.4,"6,533",0.03,"220,382",1,"37,847",0.32,"5,293",0.02,,,,,"17,798",0.07,"671,552",1.8,"1,157,442",6.72,"17,069",0.29,"10,790",0.05,"867,469",4.34,"246,516",1.58,"11,955,342",24.29,"2,039,608",8.07,"5,243,838",20.32,,,"168,542",0.75,"3,332,831",16.31,"206,184",0.91,"6,400,424",28.82,"2,358",0.13,-----,-----,-----,-----
ANTSEA_106_DEAN.qgd,"3,912",0.03,"3,008,374",6.36,"9,333",0.13,"31,272",0.29,"3,928,563",8.78,"35,743",0.3,-----,-----,"101,976",0.46,"21,960",0.28,"2,178",0.01,,,,,"9,465",0.04,"315,923",1.02,"600,862",3.7,"7,674",0.24,"5,094",0.02,"440,676",2.41,"117,308",0.94,"11,093,911",22.55,"1,173,279",4.71,"3,393,198",13.15,,,"98,879",0.58,"1,981,070",9.93,"94,803",0.42,"3,968,530",18.04,-----,-----,-----,-----,-----,-----
ANTSEA_107_DEAN.qgd,"5,396",0.03,"3,944,143",8.29,"14,163",0.15,"37,656",0.31,"5,108,503",11.31,"65,398",0.46,"6,995",0.03,"205,371",0.93,"28,386",0.3,"14,953",0.06,,,,,"30,715",0.12,"408,432",1.23,"816,513",4.87,"7,820",0.24,"8,404",0.04,"603,916",3.15,"171,164",1.21,"11,071,360",22.51,"1,707,015",6.78,"4,936,745",19.13,,,"124,954",0.65,"2,721,548",13.43,"175,694",0.78,"5,891,412",26.56,-----,-----,-----,-----,-----,-----
ANTSEA_108_DEAN.qgd,"5,486",0.03,"3,725,983",7.84,"16,233",0.16,"37,861",0.31,"4,519,886",10.04,"157,994",0.96,"6,790",0.03,"137,399",0.62,"23,826",0.29,"47,664",0.18,,,,,"53,223",0.21,"305,591",1,"800,925",4.78,"43,663",0.4,"8,273",0.04,"538,852",2.85,"145,096",1.08,"11,544,522",23.46,"1,368,957",5.47,"3,694,241",14.31,,,"96,902",0.58,"2,662,688",13.15,"125,338",0.56,"4,683,253",21.21,-----,-----,-----,-----,"4,376",0.96
ANTSEA_109_DEAN.qgd,"1,646",0.02,"2,411,051",5.13,"6,455",0.12,"17,457",0.27,"3,091,991",6.98,"24,406",0.24,"2,825",0.01,"77,776",0.35,"12,740",0.26,"3,910",0.02,,,,,"9,202",0.04,"180,156",0.73,"477,050",3.03,"4,282",0.23,"3,208",0.01,"312,734",1.83,"83,468",0.77,"9,162,615",18.66,"987,978",3.99,"3,080,260",11.93,,,"60,878",0.5,"1,781,655",8.99,"72,798",0.32,"3,696,910",16.84,-----,-----,-----,-----,-----,-----
ANTSEA_110_CYJA.qgd,"1,246",0.02,"368,697",0.93,"2,339",0.1,"25,356",0.28,"2,118,271",4.89,"4,514",0.13,327,0,"8,427",0.04,"15,165",0.27,-----,-----,,,,,-----,-----,"115,968",0.59,"235,297",1.71,"3,286",0.22,"1,855",0.01,"189,034",1.27,"18,852",0.45,"9,350,036",19.04,"357,587",1.55,"404,831",1.57,,,"52,723",0.48,"972,903",5.17,-----,-----,"528,091",2.81,"36,108",0.22,"5,464",0.56,-----,-----
ANTSEA_111_CYJA.qgd,"1,643",0.02,"330,991",0.85,"2,663",0.1,"21,526",0.27,"1,924,864",4.48,"10,952",0.17,422,0,"7,454",0.03,"13,854",0.26,-----,-----,,,,,-----,-----,"127,610",0.61,"227,531",1.67,"3,611",0.23,"1,992",0.01,"162,043",1.15,"8,637",0.4,"9,627,916",19.6,"289,240",1.29,"342,117",1.33,,,"50,655",0.47,"888,178",4.77,"1,157",0.01,"454,011",2.48,"27,391",0.2,"5,625",0.56,-----,-----
ANTSEA_112_CYJA.qgd,"2,198",0.03,"320,454",0.83,"2,799",0.1,"21,203",0.27,"2,031,315",4.71,"13,126",0.18,226,0,"9,610",0.04,"11,641",0.26,-----,-----,,,,,-----,-----,"132,106",0.62,"225,915",1.66,"3,899",0.23,-----,-----,"189,588",1.27,"17,874",0.45,"9,713,580",19.77,"500,410",2.1,"556,680",2.16,,,"35,769",0.44,"860,424",4.64,-----,-----,"670,090",3.44,"30,056",0.21,"6,440",0.56,-----,-----
ANTSEA_113_CYJA.qgd,"3,532",0.03,"316,565",0.82,"8,233",0.12,"13,252",0.26,"1,304,741",3.15,"296,357",1.71,"27,258",0.12,"31,906",0.14,"8,508",0.25,"35,762",0.14,,,,,"105,933",0.41,"221,330",0.82,"199,956",1.52,"10,553",0.26,"15,127",0.07,"53,679",0.66,"12,353",0.42,"9,784,811",19.91,"241,564",1.1,"335,773",1.3,,,"82,562",0.55,"813,495",4.42,-----,-----,"442,176",2.43,-----,-----,"153,681",1.56,387,0.93
ANTSEA_114_DEANP.qgd,"2,024",0.02,"318,621",0.83,"3,389",0.1,"20,979",0.27,"2,036,920",4.72,"16,921",0.2,168,0,"9,998",0.05,"11,657",0.26,207,0,,,,,"1,703",0.01,"170,952",0.71,"242,232",1.75,"3,587",0.23,-----,-----,"187,656",1.27,"16,523",0.44,"9,717,387",19.78,"451,013",1.91,"513,027",1.99,,,"47,138",0.46,"811,778",4.41,-----,-----,"626,092",3.24,"34,913",0.22,"4,748",0.55,108,0.93
ANTSEA_115_DEANP.qgd,579,0.02,"326,905",0.84,"7,886",0.12,"12,231",0.25,"1,424,889",3.41,"288,519",1.66,"32,844",0.15,"37,859",0.17,"9,471",0.25,"40,312",0.16,,,,,"105,693",0.41,"316,535",1.03,"202,521",1.53,"8,625",0.25,"15,730",0.07,"57,921",0.68,"25,243",0.48,"9,733,760",19.81,"232,170",1.06,"328,683",1.27,,,"89,392",0.56,"1,000,290",5.3,"1,083",0,"425,734",2.35,-----,-----,"127,485",1.38,-----,-----
ANTSEA_116_DEANP.qgd,"2,217",0.03,"423,681",1.04,"12,627",0.14,"15,774",0.26,"1,492,925",3.55,"377,321",2.14,"29,636",0.13,"41,345",0.19,"10,450",0.26,"30,702",0.12,,,,,"108,910",0.42,"186,041",0.74,"205,211",1.55,"12,362",0.26,"16,379",0.07,"63,504",0.7,"24,167",0.48,"9,492,714",19.33,"244,527",1.11,"281,275",1.09,,,"104,637",0.6,"975,708",5.19,-----,-----,"361,394",2.07,-----,-----,"131,909",1.41,-----,-----
ANTSEA_117_DEANP.qgd,"1,750",0.02,"398,247",0.99,"10,289",0.13,"15,430",0.26,"1,671,850",3.93,"319,497",1.83,"26,309",0.12,"29,505",0.13,"9,627",0.26,"29,154",0.11,,,,,"92,673",0.36,"219,122",0.81,"294,949",2.04,"11,672",0.26,"21,213",0.1,"73,094",0.75,"18,173",0.45,"9,377,750",19.09,"250,478",1.13,"300,749",1.17,,,"117,983",0.63,"897,785",4.82,-----,-----,"467,705",2.54,-----,-----,"132,531",1.41,595,0.93
ANTSEA_118_DEANP.qgd,"2,243",0.03,"343,479",0.88,"12,603",0.14,"15,892",0.26,"1,474,167",3.51,"365,478",2.08,"30,103",0.14,"35,867",0.16,"10,450",0.26,"34,543",0.13,,,,,"107,448",0.42,"206,981",0.79,"207,006",1.56,"17,314",0.29,"17,914",0.08,"59,060",0.68,"19,548",0.45,"9,776,309",19.9,"298,178",1.32,"349,758",1.36,,,"119,092",0.63,"932,057",4.98,-----,-----,"504,433",2.7,-----,-----,"128,406",1.39,-----,-----
ANTSEA_119_CYOB.qgd,"2,397",0.03,"59,016",0.29,-----,-----,"38,850",0.31,"3,096,186",6.99,"60,776",0.43,"2,081",0.01,"5,077",0.02,"9,851",0.26,"4,667",0.02,,,,,"11,141",0.04,"207,732",0.79,"82,625",0.88,"52,620",0.45,"4,076",0.02,"13,774",0.48,"27,187",0.49,"9,683,785",19.71,"2,879",0.18,"17,528",0.07,,,"10,004",0.38,"153,404",1.31,-----,-----,"582,124",3.05,-----,-----,-----,-----,"3,280",0.95
ANTSEA_120_CYOB.qgd,632,0.02,"65,546",0.31,-----,-----,"28,994",0.29,"2,286,644",5.25,"87,229",0.58,"2,831",0.01,"9,122",0.04,"7,273",0.25,"12,830",0.05,,,,,"21,697",0.08,"147,077",0.66,"60,462",0.76,"46,445",0.42,"2,700",0.01,"8,438",0.45,"12,598",0.42,"9,473,277",19.29,"14,113",0.22,"32,374",0.13,,,"5,811",0.37,"159,548",1.34,-----,-----,"366,820",2.09,-----,-----,-----,-----,"4,475",0.96
ANTSEA_121_CYOB.qgd,704,0.02,"29,880",0.23,-----,-----,"31,160",0.29,"2,457,648",5.62,"35,300",0.3,"1,462",0.01,"1,571",0.01,"7,119",0.25,393,0,,,,,"3,901",0.02,"110,737",0.58,"60,851",0.76,"38,649",0.38,"2,359",0.01,"6,761",0.45,"21,953",0.47,"8,943,380",18.22,-----,-----,"7,926",0.03,,,"6,572",0.37,"144,017",1.26,-----,-----,"315,309",1.86,-----,-----,-----,-----,-----,-----
ANTSEA_122_CYOB.qgd,"1,221",0.02,"39,553",0.25,-----,-----,"33,490",0.3,"2,525,936",5.77,"36,019",0.3,"1,115",0.01,"2,450",0.01,"7,319",0.25,369,0,,,,,"6,937",0.03,"102,929",0.56,"60,313",0.76,"33,168",0.36,"1,561",0.01,"7,141",0.45,"25,789",0.49,"8,936,131",18.21,-----,-----,"10,476",0.04,,,"6,684",0.37,"119,570",1.15,-----,-----,"346,798",2,-----,-----,-----,-----,-----,-----
ANTSEA_123_CYOB.qgd,"1,415",0.02,"62,929",0.3,-----,-----,"39,955",0.31,"3,159,153",7.12,"79,705",0.54,804,0,"8,217",0.04,"10,867",0.26,"5,642",0.02,,,,,"17,006",0.07,"103,691",0.56,"79,349",0.86,"55,237",0.46,"4,352",0.02,"12,082",0.47,"36,570",0.54,"7,899,959",16.12,-----,-----,"18,654",0.07,,,"6,223",0.37,"156,066",1.32,-----,-----,"548,043",2.89,-----,-----,-----,-----,-----,-----
ANTSEA_124_MYSM.qgd,"5,372",0.03,"262,455",0.71,-----,-----,"75,973",0.39,"2,871,557",6.51,"78,295",0.53,496,0,"11,379",0.05,"19,002",0.28,766,0,,,,,"3,451",0.01,"157,780",0.68,"25,943",0.57,"10,824",0.26,-----,-----,"7,031",0.45,"9,342",0.4,"9,302,333",18.94,-----,-----,"1,536",0.01,,,"5,872",0.37,"2,013,351",10.08,-----,-----,"31,158",0.61,-----,-----,-----,-----,-----,-----
ANTSEA_125_MYSM.qgd,"2,006",0.02,"241,838",0.67,-----,-----,"30,639",0.29,"3,233,192",7.28,"96,566",0.63,-----,-----,"12,434",0.06,"10,164",0.26,"2,563",0.01,,,,,"3,608",0.01,"180,232",0.73,"31,108",0.6,"12,020",0.26,-----,-----,"10,057",0.46,"11,304",0.41,"9,724,139",19.79,-----,-----,"1,363",0.01,,,"3,933",0.36,"2,509,066",12.42,-----,-----,"73,842",0.79,-----,-----,-----,-----,"3,383",0.95
ANTSEA_126_MYSM.qgd,"2,938",0.03,"270,403",0.73,-----,-----,"32,722",0.3,"3,395,169",7.63,"86,878",0.58,-----,-----,"12,936",0.06,"9,670",0.26,"1,585",0.01,,,,,-----,-----,"167,612",0.7,"29,168",0.59,"10,280",0.26,-----,-----,"7,511",0.45,"17,589",0.44,"9,642,708",19.63,-----,-----,307,0,,,"3,433",0.36,"2,624,491",12.97,-----,-----,"61,546",0.74,-----,-----,-----,-----,"1,947",0.94
ANTSEA_127_MYSM.qgd,"2,166",0.03,"254,065",0.69,-----,-----,"30,500",0.29,"3,370,459",7.58,"97,621",0.63,-----,-----,"15,820",0.07,"7,072",0.25,706,0,,,,,"2,582",0.01,"185,506",0.74,"29,366",0.59,"10,462",0.26,-----,-----,"10,441",0.46,"16,307",0.44,"9,729,033",19.8,-----,-----,"1,414",0.01,,,"3,466",0.36,"2,876,055",14.16,-----,-----,"106,084",0.94,-----,-----,-----,-----,-----,-----
ANTSEA_128_MYSM.qgd,340,0.02,"54,528",0.28,-----,-----,"8,905",0.25,"1,969,758",4.57,"9,814",0.16,-----,-----,-----,-----,"4,849",0.24,-----,-----,,,,,-----,-----,"99,135",0.55,"54,972",0.73,"164,059",0.94,-----,-----,"50,887",0.65,"19,023",0.45,"9,121,248",18.58,-----,-----,"14,825",0.06,,,"2,552",0.36,"30,638",0.73,-----,-----,"2,095,470",9.75,-----,-----,-----,-----,-----,-----
ANTSEA_129_PAOR.qgd,142,0.02,"8,758",0.19,-----,-----,"4,057",0.24,"476,117",1.37,"10,408",0.16,-----,-----,-----,-----,"2,892",0.24,225,0,,,,,-----,-----,"53,452",0.45,"28,017",0.59,"4,440",0.23,-----,-----,"2,185",0.43,-----,-----,"8,071,912",16.47,-----,-----,-----,-----,,,"1,747",0.36,"109,940",1.1,-----,-----,"333,324",1.94,-----,-----,-----,-----,-----,-----
ANTSEA_130_PAOR.qgd,"1,068",0.02,"22,205",0.22,-----,-----,"8,295",0.25,"984,097",2.46,"23,733",0.23,-----,-----,-----,-----,"4,006",0.24,-----,-----,,,,,-----,-----,"77,932",0.5,"58,219",0.75,"7,260",0.24,-----,-----,"8,042",0.45,"10,406",0.41,"8,871,600",18.08,-----,-----,-----,-----,,,"1,931",0.36,"125,772",1.18,-----,-----,"890,105",4.41,-----,-----,-----,-----,265,0.93
ANTSEA_131_PAOR.qgd,307,0.02,"13,041",0.2,-----,-----,"5,248",0.24,"710,708",1.87,"13,239",0.18,-----,-----,-----,-----,"3,531",0.24,-----,-----,,,,,-----,-----,"48,731",0.44,"48,409",0.7,"4,636",0.23,-----,-----,"5,823",0.44,"4,104",0.38,"8,274,727",16.87,-----,-----,-----,-----,,,"1,141",0.36,"144,746",1.27,-----,-----,"602,432",3.14,-----,-----,-----,-----,-----,-----
ANTSEA_133_PAOR.qgd,201,0.02,"7,704",0.19,-----,-----,"3,782",0.24,"437,897",1.29,"6,426",0.14,-----,-----,-----,-----,"2,140",0.24,73,0,,,,,-----,-----,"34,574",0.41,"24,499",0.57,"2,553",0.22,-----,-----,"3,841",0.43,"2,826",0.37,"8,714,053",17.76,-----,-----,308,0,,,"1,502",0.36,"53,133",0.83,-----,-----,"286,541",1.74,-----,-----,-----,-----,-----,-----
ANTSEA_134_PAOR.qgd,-----,-----,"3,050",0.18,-----,-----,"1,918",0.23,"309,574",1.01,"4,566",0.13,409,0,-----,-----,"1,828",0.24,365,0,,,,,-----,-----,"30,294",0.4,"20,938",0.55,"1,853",0.22,-----,-----,"3,324",0.43,"1,722",0.37,"6,990,570",14.29,-----,-----,-----,-----,,,"1,152",0.36,"65,946",0.89,-----,-----,"344,805",1.99,-----,-----,-----,-----,-----,-----
ANTSEA_135_PAOR.qgd,759,0.02,"7,878",0.19,-----,-----,"3,736",0.24,"399,020",1.2,"6,887",0.14,-----,-----,-----,-----,"2,235",0.24,113,0,,,,,-----,-----,"41,855",0.43,"22,165",0.55,"1,828",0.22,-----,-----,"3,328",0.43,-----,-----,"6,237,536",12.77,-----,-----,-----,-----,,,"1,388",0.36,"52,314",0.83,-----,-----,"295,510",1.78,-----,-----,-----,-----,-----,-----
ANTSEA_136_PAOR.qgd,"1,554",0.02,"17,600",0.21,-----,-----,"5,217",0.24,"655,473",1.75,"12,324",0.17,-----,-----,-----,-----,"3,158",0.24,281,0,,,,,-----,-----,"55,862",0.46,"32,843",0.61,"2,620",0.22,-----,-----,"4,584",0.44,-----,-----,"7,678,739",15.67,-----,-----,-----,-----,,,"1,428",0.36,"89,905",1.01,-----,-----,"503,359",2.7,-----,-----,-----,-----,-----,-----
ANTSEA_137_PAOR.qgd,360,0.02,"10,295",0.19,-----,-----,"3,908",0.24,"491,886",1.4,"8,520",0.15,-----,-----,-----,-----,"1,978",0.24,98,0,,,,,-----,-----,"45,275",0.43,"24,069",0.56,"2,403",0.22,-----,-----,"3,684",0.43,-----,-----,"7,520,000",15.35,-----,-----,-----,-----,,,"1,472",0.36,"81,776",0.97,-----,-----,"404,940",2.26,-----,-----,-----,-----,-----,-----
ANTSEA_138_MYMA.qgd,513,0.02,"28,820",0.23,-----,-----,"5,469",0.24,"809,890",2.09,"11,448",0.17,262,0,-----,-----,"2,057",0.24,363,0,,,,,-----,-----,"72,522",0.49,"13,945",0.51,"117,679",0.74,-----,-----,"24,945",0.53,"8,973",0.4,"6,938,558",14.18,"1,542",0.17,"2,262",0.01,,,"1,400",0.36,"39,927",0.77,-----,-----,"552,532",2.91,-----,-----,-----,-----,-----,-----
ANTSEA_139_MYMA.qgd,323,0.02,"50,654",0.27,-----,-----,"10,965",0.25,"1,648,256",3.88,"10,391",0.16,-----,-----,-----,-----,"5,850",0.25,-----,-----,,,,,-----,-----,"114,639",0.58,"40,080",0.65,"167,445",0.96,-----,-----,"47,214",0.63,"15,689",0.44,"8,208,449",16.74,"4,622",0.18,"6,577",0.03,,,"2,570",0.36,"51,670",0.83,-----,-----,"1,058,940",5.16,-----,-----,-----,-----,-----,-----
