Sample,C12:0,C14:0,C14:1w5,C15:0,C16:0,C16:1w7c,C16:2w6,C16:2w6,C17:0,C16:3n4,C16:4w1,C18:0,C18:1w9c,C18:1w7c,C18:1n,C18:2w6c,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:5w3,C20:0,C20:4w6,C20:4w3,C20:5w3,C22:0,C22:5w3,C22:6w3
DEME_10F0900_0059_3232020_9.qgd,7428,3011758,11208,64517,6492557,110374,3314,66368,48431,13021,18789,510042,1956532,36078,54377,1276835,147837,10484705,2115351,2558564,0,505135,6172486,306708,3347363,11934,-----,3847
DEME_11F0966_0060_3232020_25.qgd,62258,23678830,18576,281614,16217072,2868483,116463,582564,455935,28058,25629,23786831,23361835,136657,150625,10427769,563194,10994197,5060112,5542385,0,5976205,15561479,787622,10682890,21998,-----,-----
IRCO_03F0167_0041_3232020_7.qgd,22399,249133,-----,51707,4226267,46210,-----,304,28571,1496,2117,2155436,141984,37533,-----,57589,7683,11230120,3968,1922,0,31970,306756,-----,1848426,4995,1775,-----
IRCO_07F0516_0042_3232020_27.qgd,11472,112976,-----,15413,1809380,28208,-----,1063,5056,1075,2123,285308,71997,30800,-----,27102,7297,9233942,3044,2834,0,5544,247864,-----,1346975,540,1636,-----
IRCO_07F0542_0043_3232020_26.qgd,17266,167928,-----,24231,2399470,39580,-----,2964,8146,2258,3225,490881,98553,11268,-----,40959,9838,12199670,3426,2480,0,8986,256727,-----,2015418,935,2605,-----
IRCO_07F0546_0044_3232020_8.qgd,16348,200435,-----,26131,3178228,64629,-----,4472,10993,5749,6677,642245,159189,37128,-----,52567,20757,11561034,10700,13807,0,9748,424752,4284,2598753,1697,2496,-----
IRCO_12F1205_0097_3232020_21.qgd,13591,248538,-----,32472,3476813,63927,-----,1011,10197,1062,2146,113869,191821,40528,-----,73970,17564,10200177,8945,15246,0,3436,534562,8564,2173585,1102,1925,-----
IRCO_14F1335_0098_3232020_20.qgd,20073,456306,-----,31830,4574153,199551,-----,20390,12016,42329,71653,187474,221490,88230,-----,83681,25560,9744327,22650,65475,0,6478,727758,7470,3217023,1562,4761,-----
IRCO_15F1422_0096_3232020_13.qgd,24593,440990,-----,56796,6246854,70095,-----,1500,63725,2657,1119,2468914,362431,85376,-----,135607,36716,11030732,24946,36536,0,26452,659226,7754,3698565,8584,5283,-----
IRCO_15F1423_0099_3232020_14.qgd,19492,268627,-----,25560,3276331,56247,-----,469,10578,114,-----,91967,105777,44802,-----,42646,11418,10996057,10387,11419,0,4157,368619,-----,1824442,1168,1886,-----
